recording_id,leakage_group,split
S-0258,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0258.wav,test
S-0259,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0259.wav,test
S-0260,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0260.wav,train
S-0261,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0261.wav,train
S-0262,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0262.wav,validation
S-0263,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0263.wav,train
S-0264,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0264.wav,train
S-0265,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0160.wav,train
S-0266,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0160.wav,train
S-0267,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0267.wav,train
S-0268,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0268.wav,train
S-0269,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0269.wav,test
S-0270,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0270.wav,train
S-0271,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0271.wav,train
S-0272,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0272.wav,train
S-0273,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0273.wav,train
S-0274,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0274.wav,test
S-0275,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0039.wav,validation
S-0276,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0276.wav,train
S-0277,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0277.wav,test
S-0278,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0278.wav,train
S-0279,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0279.wav,validation
S-0280,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0280.wav,train
S-0281,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0281.wav,train
S-0282,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0282.wav,train
S-0283,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0283.wav,train
S-0284,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0284.wav,train
S-0285,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0285.wav,train
S-0286,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0286.wav,test
S-0287,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0287.wav,train
S-0288,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0288.wav,test
S-0289,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0289.wav,train
S-0290,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0290.wav,train
S-0291,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0291.wav,train
S-0292,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0292.wav,train
S-0293,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0293.wav,validation
S-0294,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0294.wav,train
S-0295,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0295.wav,train
S-0296,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0296.wav,test
S-0297,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0297.wav,test
S-0298,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0298.wav,validation
S-0299,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0299.wav,train
S-0300,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0300.wav,train
S-0301,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0301.wav,test
S-0302,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0302.wav,validation
S-0303,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0303.wav,validation
S-0304,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0304.wav,train
S-0305,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0305.wav,train
S-0306,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0306.wav,train
S-0307,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0307.wav,test
S-0308,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0308.wav,validation
S-0309,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0309.wav,validation
S-0310,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0310.wav,validation
S-0311,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0311.wav,train
S-0312,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0312.wav,test
S-0313,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0313.wav,validation
S-0314,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0314.wav,train
S-0315,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0315.wav,train
S-0316,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0316.wav,train
S-0317,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0317.wav,train
S-0318,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0318.wav,validation
S-0319,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0319.wav,test
S-0320,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0320.wav,test
S-0321,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0321.wav,train
S-0322,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0160.wav,train
S-0323,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0323.wav,test
S-0324,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0324.wav,train
S-0325,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0325.wav,train
S-0326,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0326.wav,train
S-0327,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0327.wav,train
S-0328,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0328.wav,train
S-0329,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0329.wav,train
S-0330,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0330.wav,validation
S-0331,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0331.wav,train
S-0332,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0332.wav,test
S-0333,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0333.wav,train
S-0334,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0334.wav,validation
S-0335,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0335.wav,train
S-0336,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0336.wav,validation
S-0337,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0337.wav,train
S-0338,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0338.wav,validation
S-0339,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0339.wav,train
S-0340,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0340.wav,test
S-0341,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0341.wav,train
S-0342,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0342.wav,validation
S-0343,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0343.wav,validation
S-0344,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0344.wav,train
S-0345,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0345.wav,validation
S-0346,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0346.wav,test
S-0347,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0347.wav,validation
S-0348,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0348.wav,train
S-0349,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0349.wav,validation
S-0350,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0350.wav,validation
S-0351,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0351.wav,train
S-0352,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0352.wav,train
S-0353,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0353.wav,test
S-0354,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0354.wav,train
S-0355,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0355.wav,train
S-0356,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0356.wav,train
S-0357,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0357.wav,test
S-0358,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0358.wav,test
S-0359,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0359.wav,train
S-0360,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0360.wav,validation
S-0361,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0361.wav,train
S-0362,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0362.wav,train
S-0363,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0363.wav,test
S-0364,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0364.wav,test
S-0365,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0365.wav,train
S-0366,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0366.wav,train
S-0367,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0367.wav,test
S-0368,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0368.wav,test
S-0369,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0369.wav,train
S-0370,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0370.wav,train
S-0371,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0371.wav,train
S-0372,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0372.wav,train
S-0373,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0373.wav,train
S-0374,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0374.wav,validation
S-0375,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0375.wav,validation
S-0376,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0376.wav,train
S-0377,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0377.wav,train
S-0378,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0378.wav,test
S-0379,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0379.wav,test
S-0380,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0380.wav,train
S-0381,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0381.wav,train
S-0382,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0382.wav,train
S-0383,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0383.wav,test
S-0384,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0384.wav,train
S-0385,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0385.wav,test
S-0386,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0386.wav,validation
S-0387,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0387.wav,test
S-0388,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0387.wav,test
S-0389,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0389.wav,train
S-0390,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0390.wav,train
S-0391,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0391.wav,train
S-0392,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0392.wav,train
S-0393,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0393.wav,train
S-0394,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0394.wav,train
S-0395,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0395.wav,train
S-0396,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0396.wav,train
S-0397,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0397.wav,train
S-0398,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0398.wav,train
S-0399,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0399.wav,train
S-0400,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0400.wav,test
S-0401,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0401.wav,train
S-0402,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0402.wav,train
S-0403,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0403.wav,train
S-0404,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0404.wav,train
S-0405,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0405.wav,train
S-0406,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0406.wav,validation
S-0407,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0407.wav,train
S-0408,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0408.wav,test
S-0409,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0409.wav,validation
S-0410,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0410.wav,train
S-0411,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0411.wav,validation
S-0412,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0412.wav,test
S-0413,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0413.wav,train
S-0414,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0414.wav,test
S-0415,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0415.wav,train
S-0416,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0416.wav,train
S-0417,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0417.wav,train
S-0418,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0418.wav,train
S-0419,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0419.wav,test
S-0420,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0420.wav,train
S-0421,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0421.wav,train
S-0422,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0417.wav,train
S-0423,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0423.wav,validation
S-0424,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0424.wav,test
S-0425,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0425.wav,train
S-0426,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0426.wav,train
S-0427,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0427.wav,train
S-0428,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0428.wav,train
S-0429,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0429.wav,train
S-0430,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0430.wav,train
S-0431,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0431.wav,test
S-0432,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0432.wav,test
S-0433,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0433.wav,train
S-0434,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0434.wav,train
S-0435,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0435.wav,test
S-0436,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0436.wav,test
S-0437,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0437.wav,validation
S-0438,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0438.wav,train
S-0439,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0439.wav,train
S-0440,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0440.wav,train
S-0441,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0441.wav,train
S-0442,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0131.wav,train
S-0443,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0443.wav,validation
S-0444,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0444.wav,validation
S-0445,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0445.wav,train
S-0446,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0446.wav,validation
S-0447,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0447.wav,train
S-0448,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0448.wav,train
S-0449,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0449.wav,train
S-0450,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0450.wav,train
S-0451,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0451.wav,train
S-0452,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0452.wav,validation
S-0453,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0453.wav,train
S-0454,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0454.wav,train
S-0455,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0455.wav,train
S-0456,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0456.wav,train
S-0457,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0457.wav,validation
S-0458,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0458.wav,train
S-0459,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0441.wav,train
S-0460,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0460.wav,train
S-0461,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0461.wav,train
S-0462,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0462.wav,train
S-0463,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0463.wav,train
S-0464,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0464.wav,train
S-0465,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0465.wav,train
S-0466,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0466.wav,train
S-0467,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0467.wav,train
S-0468,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0468.wav,train
S-0469,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0469.wav,train
S-0470,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0470.wav,train
S-0471,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0471.wav,train
S-0472,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0472.wav,test
S-0473,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0473.wav,test
S-0474,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0474.wav,test
S-0475,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0475.wav,train
S-0476,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0476.wav,train
S-0477,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0477.wav,train
S-0478,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0478.wav,validation
S-0479,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0479.wav,test
S-0480,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0480.wav,train
S-0481,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0481.wav,train
S-0482,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0482.wav,test
S-0483,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0483.wav,validation
S-0484,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0478.wav,validation
S-0485,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0485.wav,train
S-0486,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0486.wav,train
S-0487,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0487.wav,test
S-0488,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0488.wav,train
S-0489,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0489.wav,train
S-0490,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0490.wav,train
S-0491,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0491.wav,train
S-0492,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0155.wav,validation
S-0493,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0158.wav,train
S-0494,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0494.wav,train
S-0495,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0495.wav,test
S-0496,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0496.wav,train
S-0497,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0497.wav,train
S-0498,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0498.wav,train
S-0499,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0499.wav,test
S-0500,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0289.wav,train
S-0501,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0501.wav,train
S-0502,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0502.wav,test
S-0503,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0503.wav,train
S-0504,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0504.wav,train
S-0505,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0505.wav,train
S-0506,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0506.wav,train
S-0507,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0507.wav,train
S-0508,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0508.wav,train
S-0509,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0509.wav,train
S-0510,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0510.wav,validation
S-0511,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0511.wav,validation
S-0512,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0512.wav,train
S-0513,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0513.wav,train
S-0514,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0514.wav,test
S-0515,datased:DataSED - DataSED - Dataset for Sound Event Detection of environmental noise/SED_wav/S-0515.wav,train
